img,method,starting colors,k,n_points,comp type,time,world_size
2,MPI,74563,29,524176,light,0.031071,2
2,MPI,74563,29,524176,light,0.0211842,3
2,MPI,74563,29,524176,light,0.0173622,4
2,Sequential,74563,29,524176,light,0.0411183,0
3,OMP,74563,29,784996,light,0.025623,4
3,OMP,74563,29,784996,light,0.0217499,6
3,OMP,74563,29,784996,light,0.0231508,8
3,MPI,74563,29,784996,light,0.040973,2
3,MPI,74563,29,784996,light,0.0314977,3
3,MPI,74563,29,784996,light,0.0255427,4
3,Sequential,74563,29,784996,light,0.0615698,0
4,OMP,74563,29,1048576,light,0.033593,4
4,OMP,74563,29,1048576,light,0.0292354,6
4,OMP,74563,29,1048576,light,0.0295573,8
4,MPI,74563,29,1048576,light,0.056068,2
4,MPI,74563,29,1048576,light,0.0423074,3
4,MPI,74563,29,1048576,light,0.030468,4
4,Sequential,74563,29,1048576,light,0.0813547,0
5,OMP,74563,29,1308736,light,0.0429736,4
5,OMP,74563,29,1308736,light,0.0396044,6
5,OMP,74563,29,1308736,light,0.0378816,8
5,MPI,74563,29,1308736,light,0.0623326,2
5,MPI,74563,29,1308736,light,0.0486197,3
5,MPI,74563,29,1308736,light,0.0472911,4
5,Sequential,74563,29,1308736,light,0.102049,0
6,OMP,74563,29,1572516,light,0.0521626,4
6,OMP,74563,29,1572516,light,0.0436544,6
6,OMP,74563,29,1572516,light,0.0452022,8
6,MPI,74563,29,1572516,light,0.0847192,2
6,MPI,74563,29,1572516,light,0.0633136,3
6,MPI,74563,29,1572516,light,0.049876,4
6,Sequential,74563,29,1572516,light,0.124878,0
7,OMP,74563,29,1833316,light,0.0593035,4
7,OMP,74563,29,1833316,light,0.0544159,6
7,OMP,74563,29,1833316,light,0.0557684,8
7,MPI,74563,29,1833316,light,0.0943333,2
7,MPI,74563,29,1833316,light,0.0796173,3
7,MPI,74563,29,1833316,light,0.0653544,4
7,Sequential,74563,29,1833316,light,0.146758,0
8,OMP,74563,29,2096704,light,0.0734487,4
8,OMP,74563,29,2096704,light,0.0652858,6
8,OMP,74563,29,2096704,light,0.0672629,8
8,MPI,74563,29,2096704,light,0.115344,2
8,MPI,74563,29,2096704,light,0.0798455,3
8,MPI,74563,29,2096704,light,0.0696841,4
8,Sequential,74563,29,2096704,light,0.170938,0
9,OMP,74563,29,2359296,light,0.0877087,4
9,OMP,74563,29,2359296,light,0.0796144,6
9,OMP,74563,29,2359296,light,0.0813714,8
9,MPI,74563,29,2359296,light,0.1238,2
9,MPI,74563,29,2359296,light,0.0863761,3
9,MPI,74563,29,2359296,light,0.0875776,4
9,Sequential,74563,29,2359296,light,0.198091,0
10,OMP,74563,29,2621161,light,0.0981906,4
10,OMP,74563,29,2621161,light,0.0930516,6
10,OMP,74563,29,2621161,light,0.0904529,8
10,MPI,74563,29,2621161,light,0.13395,2
10,MPI,74563,29,2621161,light,0.108437,3
10,MPI,74563,29,2621161,light,0.0849249,4
10,Sequential,74563,29,2621161,light,0.219439,0
11,OMP,74563,29,2883204,light,0.106104,4
11,OMP,74563,29,2883204,light,0.105832,6
11,OMP,74563,29,2883204,light,0.0968787,8
11,MPI,74563,29,2883204,light,0.141227,2
11,MPI,74563,29,2883204,light,0.122672,3
11,MPI,74563,29,2883204,light,0.0945561,4
11,Sequential,74563,29,2883204,light,0.2438,0
12,OMP,74563,29,3143529,light,0.127911,4
12,OMP,74563,29,3143529,light,0.11179,6
12,OMP,74563,29,3143529,light,0.113195,8
