img,method,starting colors,k,n_points,comp type,time,world_size
2,MPI,74563,29,524176,light,0.0398043,3
2,MPI,74563,29,524176,light,0.0278705,4
2,Sequential,74563,29,524176,light,0.080415,0
3,OMP,74563,29,784996,light,0.0708922,2
3,OMP,74563,29,784996,light,0.0555036,3
3,OMP,74563,29,784996,light,0.0477412,4
3,MPI,74563,29,784996,light,0.0762235,2
3,MPI,74563,29,784996,light,0.0506008,3
3,MPI,74563,29,784996,light,0.0425787,4
3,Sequential,74563,29,784996,light,0.11659,0
4,OMP,74563,29,1048576,light,0.093517,2
4,OMP,74563,29,1048576,light,0.0739647,3
4,OMP,74563,29,1048576,light,0.0636364,4
4,MPI,74563,29,1048576,light,0.0961113,2
4,MPI,74563,29,1048576,light,0.0688758,3
4,MPI,74563,29,1048576,light,0.0636746,4
4,Sequential,74563,29,1048576,light,0.154156,0
5,OMP,74563,29,1308736,light,0.117309,2
5,OMP,74563,29,1308736,light,0.0938706,3
5,OMP,74563,29,1308736,light,0.0813488,4
5,MPI,74563,29,1308736,light,0.117016,2
5,MPI,74563,29,1308736,light,0.0781845,3
5,MPI,74563,29,1308736,light,0.0766419,4
5,Sequential,74563,29,1308736,light,0.194071,0
6,OMP,74563,29,1572516,light,0.147561,2
6,OMP,74563,29,1572516,light,0.113289,3
6,OMP,74563,29,1572516,light,0.0975736,4
6,MPI,74563,29,1572516,light,0.139094,2
6,MPI,74563,29,1572516,light,0.101798,3
6,MPI,74563,29,1572516,light,0.081867,4
6,Sequential,74563,29,1572516,light,0.234194,0
7,OMP,74563,29,1833316,light,0.168042,2
7,OMP,74563,29,1833316,light,0.132193,3
7,OMP,74563,29,1833316,light,0.115104,4
7,MPI,74563,29,1833316,light,0.158771,2
7,MPI,74563,29,1833316,light,0.110447,3
7,MPI,74563,29,1833316,light,0.0881471,4
7,Sequential,74563,29,1833316,light,0.272896,0
8,OMP,74563,29,2096704,light,0.196025,2
8,OMP,74563,29,2096704,light,0.157303,3
